fname,text,score
152501Y3_000514468.docx,"the author convinced me because at first i did not think the kids sauri, kenya needed lit reading this story changed my mind. for example in the text when it said “more than 20,000 kids and people die and get very sick from malaria” really broke my heart. also when it said “the hospital did’nt have have a doctor and there had to be more than one person to a hospital”. it was very sad to me because people had to suffer from a disease. also it said “kids wanted to learn but they couldn’t aford to stay in school. but at the end of the text it makde me happy because every body could aford what they needed and wanted.",3
106691Y2_000493011.docx,"yes because they need to protect them and find a cure for they deisease also the first time i had ever been to sauri, with the help of the millennium village project, the place change dramatically in the coming years. the millenniem village project was created to help reach the millenniem development goals.
the unpaved dirt road made our car jump as we traveld to the millennium village in sauri kenya. we passed the market",1
133501Y3_000538210.docx,"133501y3_ 000538210
the author gave one specific example, “winning the fight against poverty is achievable in our lifetime”. the author did convince us that “winning the fight against poverty is achievable in our lifetime.” because she means that it is not really a war or fighting. the author thinks that it is achievable because when her children where use to be her ago, she wanted this kind of work poverty to be a thing of history.
",1
102501Y3_000521823.docx,"i think it can happen in our life time because what if  a earthquake happen and all the stores come down or what if  a tornado cane and sweeps upt he store  or what if a hurricane comes like in hati they had a hurricane all their food was gone we had to send or provide food for them. it is always possible for any natural  desater to hsppen in contry, state, city, so my opinion is that what happened in sauri
can happen to us to i t can happen in our lifetime any it can happen in any ones lifetime.",1
1342_020025216.docx,"the millenium villages project in sauri seem like a great idea. alot of people were assisted in their struggle with daily life. i do think that we can win the fight against poverty. however, there is one problem. where are we going to get the funds to complete this goal?
	in the article hannah addressed the horrible condition of the yala-sub district hospital. she said that the facility was pucked with patients who couldn't afford medication. there was no doctor, water or electricity. this is possibly the case for the majority of hospitals in kenya. by 2008, hannah fixed these problems, but to fix just one hospital took 4 years, and costly materials like a generator, and brand new water pipes.
	the second thing she wrote about were the problems in irrigation in education. food was scarce, and the education was expensive. the millenium villages project succeeded in fixing these problems too, and changes the lives of thousands, but there is no way the world can be free of poverty in a lifetime.",3
132501Y3_000536058.docx,"yes. she did, because she put sos many events and details for us to understand  hat in their country today, we have potential  to conquer poverty once and for all. since we conquered so much, we have a even brighter future. i can infer mostly all of africa will stand with us without poverty, one day in our future. there are still problems there now, but we can over come it, they have stated alot of things that will definantly help, like a school lunch , a bed net, fertalizer, nofees for school, and medicine. all of them will absolutely improve. hope that their contry as well as sauri will have a better future.",2
106591Y3_100269648.docx,"i think so because in kenya it said how they got hospitals eletricity and medicine. they also said they had schools with no fees. one more thing is that kenya also got fertiliser for crops to grow better and healthier. their is one more reason it is achievable and i infer this, since now we have better stuff from over the years it is a much better chance to overcome and defeat poverty in many different contries all around the world.",2
128601Y1_000542866.docx,befor hannah came the rodes were paved and. a woman sat on the dusty ground selling bananas. and little kids were wrapped in cloth on there mothers back or running around in bare feet and tattered cothing.,1
1242_020045759.docx,"yes, she covinced me by telling me how terrible kenya is right now. the author told us more than 20,000 kids have die in kenya by “malaria”. the hostpital doesn’t have medicine nor water. the author also tells us how the farmers were in danger for they’re family. the farmers can rarely grow enough food for the family.",1
118501Y1_100242946.docx,it good that we know how it was before and how it is now before it not so well because you had to pay for a net for 5 buck every 5 year and children had to share a bed so if one has a dises you will get it too and kid died everyday becuase they did not have medical medican to help kid but now every one get a net for free the hopital let kid sleep in separted bed and they have the stuff to treat kid.,1
129501Y3_100210711.docx,"129501y3_10021711
the author convince me because they help safe lives in this place where people don’t have money because five dollars can be to much for them to bay bed nets in the united states five dollars in not to much but in africa people think is to much. people had problems with held the need medicin but they could not go to buy because there had no money to buy. some people in africa die and childrens to because mosquitos carry the malaria the malaria is a disease that kills kides and makes adults very sick that’s why people got sick. another eaxample is that people die because they need to eat but the crops that they plant did not grow because they need water. some people die because they don’t have money to buy medicin. 
is great that people in the united states help people from africa with money. know hospitals in africa have electricity medicin and schools know give childrens food and less people have being kill about malaria bed nets have help this people had different lifes than when they hungry there lifes change. 
",3
